Id,c_l2,g_l2
0,1.0,0
1,1.0,0
2,1.0,0
3,4.0,0
4,2.0,0
5,4.0,0
6,4.0,0
7,4.0,0
8,4.5,1
9,4.5,0
10,4.5,0
11,4.5,2
12,4.5,0
13,4.5,0
14,4.0,0
15,4.0,0
16,4.5,0
17,4.5,0
18,4.5,0
19,4.5,0
20,4.5,0
21,4.5,0
22,4.0,0
23,4.0,0
24,4.5,2
25,4.0,0
26,4.5,3
27,4.0,0
28,4.5,0
29,4.5,0
30,4.5,4
31,4.5,0
32,4.5,0
33,4.5,0
34,4.5,0
35,3.0,0
36,4.5,0
37,4.5,0
38,4.5,0
39,4.5,5
40,4.5,0
41,3.0,0
42,4.5,2
43,4.5,0
44,4.5,0
45,3.0,0
46,4.5,0
47,4.5,0
48,4.5,0
49,3.0,0
50,3.0,0
51,4.5,0
52,4.5,0
53,4.5,0
54,4.5,0
55,4.0,0
56,4.5,0
57,4.5,6
58,4.5,0
59,4.5,0
60,4.5,0
61,4.5,0
62,4.5,0
63,4.5,0
64,4.5,0
65,4.5,0
66,4.5,0
67,4.5,0
68,4.5,0
69,4.5,0
70,4.5,0
71,4.5,1
72,4.5,2
73,4.5,0
74,4.5,0
75,4.5,0
76,4.5,0
77,4.5,0
78,4.5,0
79,4.5,0
80,4.5,0
81,4.5,0
82,4.5,0
83,4.5,0
84,4.5,0
85,4.5,0
86,4.5,0
87,4.5,0
88,4.5,0
89,4.5,0
90,4.5,0
91,4.5,0
92,3.0,4
93,4.5,0
94,4.5,0
95,4.5,0
96,4.5,0
97,4.5,0
98,4.5,0
99,4.5,0
100,4.5,0
101,4.5,0
102,4.5,0
103,4.5,0
104,4.5,0
105,4.5,0
106,4.5,0
107,4.5,0
108,4.5,0
109,4.5,0
110,4.5,0
111,4.5,0
112,4.5,0
113,4.5,0
114,4.5,0
115,4.5,0
116,4.5,0
117,4.5,0
118,4.5,0
119,4.5,0
120,4.5,0
121,4.5,0
122,4.5,0
123,4.5,0
124,4.5,0
125,4.5,0
126,4.5,0
127,4.5,0
128,4.5,0
129,4.5,7
130,4.5,8
131,4.5,6
132,4.5,2
133,4.5,4
134,4.5,0
135,4.5,0
136,4.5,0
137,4.5,0
138,4.5,9
139,4.5,0
140,4.5,0
141,4.5,0
142,4.5,0
143,4.5,0
144,4.5,0
145,4.5,2
146,4.5,0
147,4.5,0
148,4.5,4
149,4.5,0
150,4.5,0
151,4.5,0
152,4.5,0
153,4.5,0
154,4.5,0
155,4.5,0
156,4.5,0
157,4.5,0
158,4.5,0
159,4.5,0
160,4.5,0
161,4.5,0
162,4.5,0
163,4.5,0
164,4.5,0
165,4.5,0
166,4.5,0
167,4.5,0
168,4.5,0
169,4.5,0
170,4.5,0
171,4.5,0
172,4.5,0
173,4.5,0
174,4.5,0
175,4.5,0
176,4.5,0
177,4.5,0
178,4.5,0
179,4.5,2
180,4.5,0
181,4.5,0
182,4.5,0
183,4.5,2
184,4.5,4
185,4.5,0
186,4.5,10
187,4.5,0
188,4.5,0
189,4.5,0
190,4.5,0
191,4.5,10
192,4.5,0
193,4.5,0
194,4.5,0
195,4.5,0
196,4.5,0
197,4.5,0
198,4.5,0
199,4.5,0
