Id,c_l2,g_l2
0,1.0,0
1,1.0,0
2,1.0,0
3,4.0,0
4,4.0,0
5,4.0,0
6,4.0,0
7,4.5,1
8,4.0,0
9,4.5,2
10,4.5,0
11,4.5,0
12,4.5,0
13,4.0,0
14,4.0,0
15,4.0,0
16,3.0,3
17,1.0,0
18,4.5,4
19,4.5,0
20,4.5,5
21,3.0,1
22,4.0,0
23,4.0,0
24,3.0,3
25,3.0,6
26,4.5,0
27,4.0,0
28,3.0,0
29,4.5,0
30,4.5,0
31,4.5,7
32,4.5,0
33,4.5,0
34,4.5,1
35,1.0,0
36,4.5,2
37,3.0,1
38,4.5,8
39,4.5,0
40,4.5,0
41,3.0,0
42,4.5,0
43,3.0,0
44,4.5,0
45,1.0,0
46,4.5,0
47,4.5,9
48,4.5,0
49,1.0,0
50,3.0,10
51,4.5,0
52,4.5,0
53,4.5,11
54,4.5,0
55,4.5,12
56,4.5,13
57,4.5,14
58,4.5,0
59,4.5,6
60,4.5,0
61,4.5,0
62,4.5,1
63,4.5,1
64,4.5,15
65,4.5,0
66,4.5,0
67,4.5,0
68,4.5,0
69,4.5,0
70,4.5,0
71,4.5,0
72,4.5,0
73,4.5,0
74,4.5,0
75,4.5,2
76,4.5,16
77,4.5,17
78,4.5,0
79,4.5,16
80,4.5,0
81,4.5,6
82,4.5,0
83,4.5,18
84,4.5,6
85,4.5,0
86,4.5,19
87,4.5,10
88,4.5,0
89,4.5,20
90,4.5,0
91,4.5,0
92,3.0,2
93,4.5,11
94,4.5,0
95,4.5,0
96,4.5,0
97,4.5,21
98,4.5,0
99,4.5,0
100,3.0,0
101,4.5,0
102,4.5,3
103,4.5,0
104,4.5,0
105,4.5,0
106,4.5,0
107,4.5,0
108,4.5,0
109,3.0,0
110,4.5,1
111,4.5,0
112,4.5,0
113,4.5,0
114,4.5,0
115,4.5,0
116,4.5,0
117,4.5,0
118,4.5,0
119,4.5,3
120,4.5,6
121,4.5,22
122,4.5,0
123,4.5,0
124,4.5,0
125,4.5,0
126,3.0,0
127,4.5,0
128,4.5,0
129,4.5,0
130,4.5,0
131,4.5,0
132,3.0,3
133,4.5,2
134,4.5,3
135,4.5,0
136,4.5,0
137,4.5,2
138,4.5,0
139,4.5,0
140,4.5,0
141,4.5,0
142,4.5,0
143,4.5,0
144,4.5,0
145,4.5,3
146,4.5,0
147,4.5,0
148,4.5,2
149,4.5,0
150,4.5,23
151,4.5,0
152,4.5,0
153,4.5,0
154,4.5,24
155,4.5,25
156,4.5,26
157,4.5,0
158,4.5,0
159,4.5,27
160,4.5,0
161,4.5,0
162,4.5,0
163,4.5,0
164,4.5,0
165,4.5,0
166,4.5,0
167,4.5,0
168,4.5,0
169,4.5,28
170,4.5,0
171,4.5,24
172,4.5,29
173,4.5,30
174,3.0,0
175,4.5,31
176,4.5,0
177,4.5,0
178,4.5,10
179,4.5,3
180,4.5,0
181,4.5,0
182,4.5,0
183,4.5,3
184,4.5,0
185,4.5,1
186,3.0,10
187,4.5,0
188,4.5,0
189,4.5,1
190,4.5,32
191,4.5,10
192,4.5,0
193,4.5,0
194,4.5,0
195,4.5,0
196,4.5,0
197,4.5,33
198,4.5,31
199,4.5,0
200,4.5,0
201,4.5,0
202,4.5,3
203,4.5,34
204,4.5,0
205,4.5,0
206,4.5,1
207,4.5,35
208,4.5,0
209,4.5,0
210,4.5,0
211,4.5,0
212,4.5,3
213,4.5,0
214,4.5,0
215,4.5,0
216,4.5,34
217,4.5,0
218,4.5,0
219,4.5,23
220,4.5,36
221,4.5,21
222,4.5,37
223,3.0,0
224,4.5,0
225,4.5,0
226,4.5,0
227,4.5,0
228,4.5,0
229,4.5,0
230,4.5,0
231,4.5,0
232,4.5,0
233,4.5,3
234,4.5,0
235,4.5,0
236,4.5,0
237,4.5,21
238,4.5,7
239,4.5,18
240,4.5,0
241,4.5,0
242,4.5,0
243,4.5,38
244,4.5,0
245,4.5,0
246,4.5,0
247,4.5,0
248,4.5,3
249,4.5,39
250,4.5,0
251,4.5,0
252,4.5,0
253,4.5,0
254,4.5,0
255,4.5,0
256,4.5,0
257,4.5,0
258,4.5,0
259,4.5,0
260,4.5,0
261,4.5,0
262,4.5,0
263,4.5,0
264,4.5,0
265,4.5,0
266,4.5,40
267,4.5,0
268,4.5,0
269,4.5,6
270,4.5,0
271,4.5,0
272,4.5,0
273,4.5,3
274,4.5,0
275,4.5,0
276,4.5,32
277,4.5,21
278,4.5,39
279,4.5,0
280,4.5,0
281,4.5,0
282,4.5,0
283,4.5,0
284,4.5,0
285,4.5,0
286,4.5,0
287,4.5,0
288,4.5,0
289,4.5,0
290,4.5,0
291,4.5,2
292,4.5,0
293,4.5,0
294,4.5,0
295,4.5,0
296,4.5,0
297,4.5,0
298,4.5,0
299,4.5,0
300,4.5,0
301,4.5,41
302,4.5,0
303,4.5,2
304,4.5,0
305,4.5,0
306,4.5,0
307,4.5,0
308,4.5,1
309,4.5,9
310,4.5,6
311,4.5,0
312,4.5,0
313,4.5,22
314,4.5,0
315,4.5,0
316,4.5,0
317,4.5,0
318,4.5,3
319,4.5,0
320,4.5,2
321,4.5,0
322,4.5,0
323,4.5,0
324,4.5,0
325,4.5,27
326,4.5,0
327,4.5,0
328,4.5,0
329,4.5,4
330,4.5,0
331,4.5,0
332,4.5,0
333,4.5,0
334,4.5,0
335,4.5,0
336,4.5,3
337,4.5,0
338,4.5,0
339,4.5,0
340,4.5,0
341,4.5,0
342,4.5,0
343,4.5,0
344,4.5,0
345,4.5,0
346,4.5,0
347,4.5,0
348,4.5,0
349,4.5,0
350,4.5,29
351,4.5,0
352,4.5,0
353,4.5,0
354,4.5,41
355,4.5,0
356,4.5,0
357,4.5,0
358,4.5,0
359,4.5,0
360,4.5,3
361,4.5,0
362,4.5,0
363,4.5,0
364,4.5,15
365,4.5,3
366,4.5,1
367,4.5,0
368,4.5,0
369,4.5,0
370,4.5,3
371,4.5,12
372,4.5,0
373,4.5,0
374,4.5,0
375,4.5,0
376,4.5,0
377,4.5,6
378,4.5,0
379,4.5,0
380,4.5,0
381,4.5,6
382,4.5,3
383,4.5,0
384,4.5,0
385,4.5,0
386,4.5,0
387,4.5,0
388,4.5,12
389,4.5,1
390,4.5,10
391,4.5,0
392,4.5,0
393,4.5,0
394,4.5,26
395,4.5,0
396,4.5,0
397,4.5,0
398,4.5,0
399,4.5,0
