Id,c_l4,g_l4
0,4.5,1
1,4.5,1
2,4.5,415
3,4.5,212
4,4.5,4
5,4.5,89
6,4.5,2077
7,4.5,957
8,4.5,1560
9,4.5,1565
10,4.5,796
11,4.5,2421
12,4.5,15258
13,4.5,5374
14,4.5,14
15,4.5,415
16,4.5,16
17,4.5,3141
18,4.5,1457
19,4.5,18
20,4.5,20
21,4.5,76
22,4.5,2421
23,4.5,2421
24,4.5,7839
25,4.5,7839
26,4.5,26
27,4.5,27
28,4.5,1217
29,4.5,1217
30,4.5,2421
31,4.5,2421
32,4.5,9183
33,4.5,9183
34,4.5,1248
35,4.5,695
36,4.5,36
37,4.5,36
38,4.5,38
39,4.5,5343
40,4.5,882
41,4.5,882
42,4.5,5926
43,4.5,20
44,4.5,44
45,4.5,44
46,4.5,695
47,4.5,695
48,4.5,1457
49,4.5,1457
50,4.5,85
51,4.5,85
52,4.5,52
53,4.5,5374
54,4.5,15897
55,4.5,2943
56,4.5,29663
57,4.5,29663
58,4.5,3967
59,4.5,910
60,4.5,60
61,4.5,60
62,4.5,2655
63,4.5,7414
64,4.5,804
65,4.5,65
66,4.5,66
67,4.5,5926
68,4.5,882
69,4.5,69
70,4.5,70
71,4.5,70
72,4.5,34249
73,4.5,73
74,4.5,5094
75,4.5,5246
76,4.5,76
77,4.5,1602
78,4.5,12447
79,4.5,10427
80,4.5,2421
81,4.5,415
82,4.5,843
83,4.5,83
84,4.5,83
85,4.5,957
86,4.5,695
87,4.5,2421
88,4.5,695
89,4.5,89
90,4.5,1602
91,4.5,91
92,4.5,415
93,4.5,93
94,4.5,775
95,4.5,7645
96,4.5,7645
97,4.5,1229
98,4.5,1229
99,4.5,522
100,4.5,522
101,4.5,101
102,4.5,101
103,4.5,1333
104,4.5,1946
105,4.5,425
106,4.5,425
107,4.5,556
108,4.5,1248
109,4.5,1
110,4.5,1
111,4.5,295
112,4.5,76
113,4.5,1552
114,4.5,89
115,4.5,957
116,4.5,957
117,4.5,1
118,4.5,1
119,4.5,66
120,4.5,1602
121,4.5,121
122,4.5,1
123,4.5,123
124,4.5,1063
125,4.5,7645
126,4.5,126
127,4.5,66
128,4.5,128
129,4.5,20607
130,4.5,129
131,4.5,132
132,4.5,9425
133,4.5,133
134,4.5,133
135,4.5,812
136,4.5,812
137,4.5,711
138,4.5,415
139,4.5,882
140,4.5,1063
141,4.5,141
142,4.5,142
143,4.5,796
144,4.5,796
145,4.5,145
146,4.5,212
147,4.5,812
148,4.5,812
149,4.5,149
150,4.5,957
151,4.5,151
152,4.5,151
153,4.5,1602
154,4.5,154
155,4.5,20
156,4.5,425
157,4.5,157
158,4.5,157
159,4.5,3946
160,4.5,425
161,4.5,1063
162,4.5,1063
163,4.5,163
164,4.5,487
165,4.5,212
166,4.5,212
167,4.5,695
168,4.5,1602
169,4.5,1602
170,4.5,170
171,4.5,170
172,4.5,910
173,4.5,882
174,4.5,351
175,4.5,1063
176,4.5,5528
177,4.5,177
178,4.5,3141
179,4.5,3141
180,4.5,180
181,4.5,5926
182,4.5,85
183,4.5,5343
184,4.5,374
185,4.5,1457
186,4.5,10462
187,4.5,3679
188,4.5,796
189,4.5,212
190,4.5,1602
191,4.5,1602
192,4.5,192
193,4.5,351
194,4.5,212
195,4.5,212
196,4.5,5374
